1,Indiana/Hyde Park
2,Hyde Park Express
3,King Drive
4,Cottage Grove
6,Jackson Park Express
7,Harrison
8,Halsted
8A,South Halsted
9,Ashland
10,Museum of S & I
11,Lincoln/Sedgwick
12,Roosevelt
14,Jeffery Express
17,Westchester
18,16th/18th
19,United Center Express
20,Madison
21,Cermak
X21,Cermak Express
22,Clark
24,Wentworth
25,West Cermak
27,South Deering
28,Stony Island
29,State
30,South Chicago
33,Mag Mile Express
34,South Michigan
35,35th
36,Broadway
37,Sedgwick
39,Pershing
43,43rd
44,Wallace-Racine
47,47th
48,South Damen
49,Western
49A,South Western
49B,North Western
X49,Western Express
50,Damen
51,51st
52,Kedzie/California
52A,South Kedzie
53,Pulaski
53A,South Pulaski
54,Cicero
54A,North Cicero/Skokie Blvd.
54B,South Cicero
55,Garfield
55N,55th/Narragansett
56,Milwaukee
56A,North Milwaukee
57,Laramie
59,59th/61st
60,Blue Island/26th
62,Archer
62H,Archer/Harlem
63,63rd
63W,West 63rd
64,Foster-Canfield
65,Grand
66,Chicago
67,67th-69th-71st
68,Northwest Highway
69,Cumberland/East River
70,Division
71,71st/South Shore
72,North
73,Armitage
74,Fullerton
75,74th-75th
76,Diversey
77,Belmont
78,Montrose
79,79th
80,Irving Park
81,Lawrence
81W,West Lawrence
82,Kimball-Homan
84,Peterson
85,Central
85A,North Central
86,Narragansett/Ridgeland
87,87th
88,Higgins
90,Harlem
90N,North Harlem
91,Austin
92,Foster
93,California/Dodge
94,South California
95E,93rd-95th
95W,West 95th
96,Lunt
97,Skokie
100,Jeffery Manor Express
103,West 103rd
106,East 103rd
108,Halsted/95th
111,Pullman/111th/115th
112,Vincennes/111th
119,Michigan/119th
120,Ogilvie/Wacker Express
121,Union/Wacker Express
122,Illinois Center/Ogilvie Express
123,Illinois Center/Union Express
125,Water Tower Express
126,Jackson
127,Madison/Roosevelt Circulator
129,West Loop/South Loop
135,Clarendon/LaSalle Express
136,Sheridan/LaSalle Express
145,Wilson/Michigan Express
146,Inner Drive/Michigan Express
147,Outer Drive Express
151,Sheridan
152,Addison
155,Devon
156,LaSalle
157,Streeterville/Taylor
169,69th-UPS Express
170,U. of Chicago/Midway
171,U. of Chicago/Hyde Park
172,U. of Chicago/Kenwood
173,U. of Chicago/Lakeview Express
201,Central/Ridge
202,Main/Emerson
203,Ridge/Grant
204,Dodge
